,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs202001,DPSs202002,DPSs202003,DPSt01,DPSt02,DPSt03,HLs202001,HLs202002,HLs202003,HLt01,HLt02,HLt03,SLTs202001,SLTs202002,SLTs202003,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs202001,XSs202002,XSt01,XSt02,XSt03,XsSs202003
Zotu11070,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu11072,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,11,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,3,0
Zotu11074,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu11076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu11078,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Zotu11079,0,0,0,0,0,0,19,4,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Zotu1108,0,0,0,0,0,0,2,0,0,0,0,0,58,2,0,0,0,0,0,485,25,0,0,0,0,0,0,0,0,0,41,59,0,0,0,62
Zotu11080,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu11081,1,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu11082,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Zotu11083,8,35,21,0,1,0,6,4,10,0,0,0,7,0,0,0,0,0,9,4,2,0,0,0,0,1,0,0,0,1,16,15,0,0,0,16
Zotu11084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu11085,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11086,1,0,2,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,4,3,1,0,3,1
Zotu11087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Zotu11088,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu1109,0,0,0,0,0,0,0,19,0,0,0,0,0,57,30,0,0,0,2,38,3,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0
Zotu11090,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Zotu11091,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Zotu11092,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,4,0,0,0,0,0,2,0,0,0,3,3,0,0,0,3
Zotu11093,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11094,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1
Zotu11095,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11096,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11097,0,0,0,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu11099,1,0,1,0,0,0,3,6,10,0,0,0,0,3,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4
Zotu111,24,615,271,330,468,362,88,39,28,473,106,247,53,18,51,152,93,31,32,32,9,43,202,147,46,18,22,1166,189,5966,90,114,95,93,658,68
Zotu1110,0,0,0,40,0,2,0,2,8,0,0,0,31,62,7,38,0,0,2,30,57,27,0,0,2,0,0,0,0,0,19,15,0,0,0,40
Zotu11100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
Zotu11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Zotu11102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Zotu11103,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu11104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5
Zotu11105,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Zotu11106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Zotu11107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu11109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4
Zotu1111,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,1,0,17,0,0,26,3,0,0,0,0,1,0,0,0
Zotu11110,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,1,0,3,0,0,0,3,0,0,0,0,2
Zotu11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11113,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11115,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Zotu11116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0
Zotu11117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu11118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu11119,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1
Zotu1112,0,0,1,0,0,0,156,68,135,0,0,0,0,21,0,0,0,0,51,0,0,0,0,0,2,0,0,0,1,1,41,19,1,0,3,49
Zotu11120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11121,0,0,0,1,5,3,4,7,4,2,0,1,14,2,2,0,0,0,2,2,4,0,0,0,0,1,0,5,0,42,16,44,1,0,3,33
Zotu11122,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,1,1,0,1,0
Zotu11123,1,0,1,0,0,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
Zotu11124,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu11125,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,3,0,0,0,2
Zotu11126,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
Zotu11127,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,0,0,0,4
Zotu11128,0,0,0,1,0,0,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,0,0,0,0,0,0,0
Zotu11129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,3
Zotu1113,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu11130,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,3
Zotu11132,1,1,4,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,3,1,0,0,1
Zotu11133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Zotu11134,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu11135,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu11136,2,0,0,0,0,0,0,0,1,0,0,2,0,3,1,30,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,4,2,2,0
Zotu11137,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu11138,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Zotu1114,0,0,0,46,62,36,0,0,0,44,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,243,12,36,0,0,21,1,0,0
Zotu11143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1
Zotu11144,0,0,0,0,0,0,0,31,2,0,0,0,13,37,78,0,0,0,11,45,17,0,0,0,2,1,0,0,0,0,3,22,0,2,0,7
Zotu11145,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11146,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,22,2,2,0,0,0,0,0,0,0,0,0
Zotu11148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu1115,0,0,0,0,0,0,9,0,1,0,0,0,0,107,58,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Zotu11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Zotu11154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu11157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Zotu11158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Zotu11159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu1116,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,0,8,0,0,0,0,0,0,0,0,0
Zotu11160,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11161,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11162,4,2,13,0,0,0,2,4,6,65,1,4,4,3,0,0,0,0,2,6,23,3,6,0,5,20,52,3,0,0,6,3,1,0,0,7
Zotu11163,0,0,0,0,0,0,0,0,0,28,0,8,0,0,0,0,0,1,0,0,0,6,4,2,0,0,1,3,0,0,0,0,4,0,0,0
Zotu11164,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11165,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Zotu11166,25,3,3,0,0,1,8,17,26,57,3,4,9,5,0,1,1,1,3,6,32,6,8,5,3,22,34,15,0,0,26,13,7,3,4,31
Zotu11167,3,4,4,6,5,4,3,3,3,12,0,2,23,2,3,1,2,1,3,1,2,0,0,1,4,1,2,82,5,4,7,2,3,0,1,12
Zotu11168,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11169,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,84,0,7,0
Zotu1117,0,0,0,0,0,0,6,22,27,0,0,0,1,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,25,0,0,0,35
Zotu11170,0,3,0,2,6,2,0,0,0,3,2,0,0,0,0,1,18,0,0,0,0,0,2,0,0,0,0,19,48,3,0,0,2,3,2,0
Zotu11171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11172,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Zotu11173,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11174,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,4
Zotu11175,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11176,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0
Zotu11177,0,0,0,0,0,1,0,0,0,2,1,130,0,0,3,5,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,0,1,170,100,0
Zotu11178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu11179,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,7,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu1118,0,0,0,0,0,0,7,20,4,0,0,0,0,34,16,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,18,40,0,0,0,3
Zotu11180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Zotu11181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zotu11183,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Zotu11184,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu11185,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Zotu11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Zotu11187,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu11188,0,0,0,0,0,0,0,2,0,0,0,0,3,4,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
Zotu11189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
Zotu1119,0,3,1,4,17,9,0,0,0,1,1,0,0,0,0,7,32,3,0,0,0,0,1,0,0,9,0,56,156,5,0,1,5,4,8,0
Zotu11190,0,5,0,3,0,0,0,0,0,0,1,0,4,0,0,1,14,2,2,3,2,0,0,0,1,4,0,1,7,0,15,4,1,7,7,4
Zotu11191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11192,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11193,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,0,1,2,0,0,6,3,3,0,0,1,0,0,2,0,0,0
Zotu11194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
Zotu11195,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Zotu11196,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu11197,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu11198,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,0,0,1,0,0,0,0,0,1,0
Zotu11199,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Zotu112,429,1075,789,7,2,6,398,205,197,1039,61,72,246,44,1,1,5,1,119,222,964,37,56,48,88,487,2212,91,16,5,546,309,42,25,4,513
Zotu1120,0,0,0,0,0,0,3,0,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,14
Zotu11200,3,0,2,1,1,5,10,2,6,0,0,0,375,3,56,0,0,1,87,57,39,1,0,0,0,0,0,1,0,0,101,64,0,0,0,84
Zotu11201,0,0,1,0,0,0,2,0,2,0,0,0,7,2,0,0,0,0,10,31,9,0,0,0,1,0,3,0,0,0,4,0,0,0,0,4
Zotu11202,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
Zotu11203,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zotu11204,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11205,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu11206,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11207,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Zotu11208,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Zotu11209,0,0,0,0,0,0,0,0,3,0,0,0,1,7,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu1121,0,0,0,5,1,0,0,0,0,26,1,9,0,0,0,27,0,0,0,0,0,447,20,7,0,0,0,0,0,0,0,0,2,0,0,0
Zotu11210,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11211,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu11212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu1122,6,0,5,1,1,4,0,0,0,1,0,0,1,0,0,1,0,7,2,1,0,0,0,1,3,7,3,1,0,1,0,0,1,0,7,0
Zotu11221,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11223,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11224,0,0,0,9,1,10,0,0,0,0,0,0,0,0,0,51,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,3,4,0
Zotu11225,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,6,0
Zotu11226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31,0,6,0
Zotu11227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Zotu11228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Zotu11229,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0
Zotu1123,0,0,0,0,0,0,5,14,10,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,20,0,0,0,22
Zotu11230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0
Zotu11232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu11234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Zotu11235,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5,0,0,0,2,1,0,0,0,0,1,0,0,0,0,8
Zotu11236,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu11238,1,0,0,3,12,3,1,1,1,0,1,1,0,0,1,4,2,1,1,0,0,12,14,0,5,1,3,1,1,0,0,0,0,0,1,0
Zotu11239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0
Zotu1124,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0
Zotu11241,1,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,2,0,3,0
Zotu11242,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,24,1,2,0,0,0,0,0,0,0,0,0
Zotu11243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Zotu11244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,3
Zotu11245,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0
Zotu11246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9,1,2,0,0,2
