,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs202001,DPSs202002,DPSs202003,DPSt01,DPSt02,DPSt03,HLs202001,HLs202002,HLs202003,HLt01,HLt02,HLt03,SLTs202001,SLTs202002,SLTs202003,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs202001,XSs202002,XSt01,XSt02,XSt03,XsSs202003
Zotu306,52,32,58,0,0,0,0,0,182,0,0,0,26,1375,219,0,0,0,10,8,5,0,0,0,62,139,724,0,29,0,5,6,0,33,0,319
Zotu3060,0,0,0,0,0,0,0,4,1,0,0,0,18,2,0,0,0,0,0,32,23,0,0,0,0,0,0,0,0,0,15,30,0,0,0,12
Zotu3061,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,106,14,0,0,0,0,0,0,0,0,0,16,12,0,0,0,13
Zotu3062,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,7,8,0,0,0,9
Zotu3063,0,0,1,10,1,2,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,6,0,0,0,0,0,1,0,3,0,0,0,0,1,0
Zotu3064,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0
Zotu3065,1,0,0,0,0,0,2,1,0,0,0,0,14,7,0,0,0,0,16,13,4,0,0,0,30,1,1,0,0,0,2,1,0,0,0,0
Zotu3066,97,11,6,0,0,0,3,4,1,6,0,0,1,3,0,0,0,0,3,3,2,0,0,0,4,2,1,1,0,1,2,7,0,0,0,2
Zotu3067,16,1,6,0,0,0,7,7,8,0,0,1,7,4,1,0,0,0,7,9,6,0,0,1,1,0,8,0,0,1,18,18,1,0,2,6
Zotu3068,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,0,0,0,0,0,0,3,0,0
Zotu3069,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,9,4,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Zotu307,0,0,0,204,207,200,0,0,0,0,0,127,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,249,31,1927,0,0,0,0,277,0
Zotu3070,0,0,1,1,0,0,0,0,0,0,0,0,75,0,12,0,0,0,28,7,2,0,0,0,1,0,0,0,0,0,11,7,0,0,0,7
Zotu3071,0,0,0,0,0,0,1,3,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,6
Zotu3072,0,0,0,0,0,0,0,4,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Zotu3073,1,0,0,0,0,0,2,0,0,0,0,0,1,7,18,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
