,DLSt01,DLSt02,DLSt03,DLSw202001,DLSw202002,DLSw202003,DPSt01,DPSt02,DPSt03,DPSw202001,DPSw202002,DPSw202003,HLt01,HLt02,HLt03,HLw202001,HLw202002,HLw202003,SLTt01,SLTt02,SLTt03,SLTw202001,SLTw202002,SLTw202003,SLt01,SLt02,SLt03,SLw202001,SLw202002,SLw202003,XSt01,XSt02,XSt03,XSw202001,XSw202002,XSw202003
Zotu427,0,0,0,0,1,3,0,0,0,5,5,3,0,0,0,14,3,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,25,40,50
Zotu4270,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0
Zotu4271,0,0,0,0,0,3,0,0,0,4,15,26,0,0,0,0,0,2,0,0,0,9,7,0,0,0,0,3,0,0,0,0,0,0,2,2
Zotu4273,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Zotu4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,21,0,0,0,0,0,0
Zotu4278,2,2,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,1,0,0,0
Zotu4279,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,2
Zotu4280,2,2,14,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,4,1,4,1,0,0,5,0,5,1,1,0
Zotu4281,26,4,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,7,2,7,0,0,0,0,0,0,0,0,0
Zotu4282,25,1,4,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
Zotu4283,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1
Zotu4284,7,19,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,0,4,0,4,0,0,0,0,1,4,0,0,0
Zotu4285,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,14,3,0,0,0,2,0,2,0,0,0
Zotu4286,0,0,0,1,0,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Zotu4287,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
Zotu4288,0,1,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,16,0,6,0,1,0
Zotu429,0,1,2,0,0,0,0,31,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,15,0,0,0,0,6,27,0,0,0
Zotu4290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Zotu4291,0,0,0,11,7,2,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,2,0,0
Zotu4292,1,0,0,0,0,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0,0,0
Zotu4294,0,0,2,0,0,1,0,1,0,0,0,0,2,0,2,4,0,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu4295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Zotu4297,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,2,4,0,0,0,0,2,1,0,0,0,0,1,12,0,0,0,0,0,0
Zotu4298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu4299,0,2,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1
Zotu43,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,9,0,0,0,0,1,0,0,0,0,0,0,0
Zotu430,2,0,0,0,0,0,1565,17,91,0,0,0,1,0,0,0,0,0,42,75,36,0,0,0,87,0,3,0,0,0,60,6,8,0,0,1
Zotu4301,0,0,0,3,17,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4302,0,0,0,0,1,7,0,0,0,0,4,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Zotu4303,0,0,0,0,2,2,0,0,0,1,2,4,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,16,24
Zotu4304,0,0,0,0,1,0,0,0,0,4,2,1,0,0,0,4,3,4,0,0,0,0,1,0,0,0,0,4,0,4,0,0,0,16,7,10
Zotu4305,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,10,0
Zotu4306,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5,8
Zotu4307,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,31,0,0,0,0,1,5,0,0,0,0,0,0
Zotu4309,3,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Zotu431,129,198,74,0,2,0,71,27,636,0,0,0,157,23,21,5,0,0,92,163,51,0,2,1,76,17,244,1,0,0,31,50,175,1,0,1
Zotu4310,6,1,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,22,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Zotu4311,1,0,4,0,0,0,0,0,2,0,0,0,4,0,20,0,0,0,14,2,2,0,1,0,0,0,0,0,0,0,1,0,5,0,0,1
Zotu4312,7,7,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0
Zotu4313,85,7,10,0,0,1,7,5,2,0,0,0,1,0,0,0,0,2,1,4,1,0,0,0,10,2,8,0,0,0,0,2,0,0,0,0
Zotu4314,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Zotu4315,2,49,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0
Zotu4316,0,1,3,0,0,2,0,0,0,0,1,1,2,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2
Zotu4317,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0
Zotu4318,2,4,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0
Zotu4319,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu432,0,0,0,0,0,53,0,0,0,0,46,0,0,0,1,0,0,62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,46,0
Zotu4320,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Zotu4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu4322,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Zotu4324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu4326,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Zotu4328,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0
Zotu4329,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu433,18,10,34,2,2,6,15,32,11,0,0,1,21,32,34,0,0,0,7,12,39,0,1,4,8,3,2,0,0,0,13,4,19,0,1,0
Zotu4331,2,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
Zotu4332,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,9,6,15,0,0,0,1,0,6,0,0,0
Zotu4333,0,0,0,21,6,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0
Zotu4334,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,16,12,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,1,2
Zotu4335,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu4336,0,0,0,0,13,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu4337,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu4338,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu4339,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,12,6,5
Zotu434,130,55,50,0,0,0,0,0,151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,55,13,1315,0,0,1,0,1,85,1,0,0
Zotu4341,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,21,0,0,0,0,0,0
Zotu4342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Zotu4346,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu4347,7,4,19,1,1,2,1,0,2,0,0,0,19,8,15,3,0,0,6,2,4,1,2,0,4,4,18,1,0,0,8,14,28,2,1,1
Zotu4348,1,6,2,0,0,0,9,0,3,0,0,1,8,2,1,0,0,0,3,1,1,2,3,0,3,2,0,0,1,1,2,2,2,0,0,0
Zotu4349,0,0,1,1,1,2,0,1,0,1,0,1,1,2,4,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,1,0,0
Zotu435,0,0,0,274,110,40,0,0,0,18,8,22,0,0,0,109,174,188,0,0,0,68,31,27,0,0,0,265,321,249,0,0,0,52,36,67
Zotu4350,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4351,7,1,14,0,1,0,0,1,0,0,0,0,7,1,3,1,0,0,2,0,6,0,0,0,5,0,4,0,0,0,1,2,3,0,0,0
Zotu4352,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu4354,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,1
