,DLSm01,DLSm02,DLSm03,DLSt01,DLSt02,DLSt03,DPSm01,DPSm02,DPSm03,DPSt01,DPSt02,DPSt03,HLm01,HLm02,HLm03,HLt01,HLt02,HLt03,SLTm01,SLTm02,SLTm03,SLTt01,SLTt02,SLTt03,SLm01,SLm02,SLm03,SLt01,SLt02,SLt03,XSm01,XSm02,XSm03,XSt01,XSt02,XSt03
Zotu8059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu806,23,12,57,44,7,18,102,11,21,14,6,20,50,19,64,29,6,35,29,29,36,3,6,8,36,53,49,4,1,14,29,12,56,9,6,14
Zotu8061,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
Zotu8063,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8064,2,1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,1,1,0,0,0,0,0,1,0,0,1
Zotu8065,0,0,1,0,0,1,2,20,4,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8066,4,0,1,4,0,0,0,5,0,0,1,0,1,0,2,0,0,0,1,43,36,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0
Zotu8067,2,5,1,2,2,0,12,7,15,2,0,0,5,0,0,1,0,1,10,24,13,0,0,0,2,0,5,3,0,0,2,1,3,0,0,1
Zotu8068,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu8069,3,2,1,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,1,37,72,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Zotu807,48,0,2,853,75,69,1,0,2,7,1,2,62,5,1,54,0,0,0,11,12,48,4,0,1,1,1,66,14,70,3,1,5,0,0,1
Zotu8070,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8071,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
Zotu8072,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Zotu8076,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,3,0,0,0
Zotu8077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu808,7,11,13,12,3,8,18,0,3,39,9,7,8,7,1,33,3,19,3,7,1,6,23,6,45,13,18,15,0,6,7,4,13,18,4,14
Zotu8081,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8082,0,1,0,2,0,0,1,0,1,0,0,0,4,0,0,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,2,0,0,3,0,1
Zotu8083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8084,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8087,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8088,6,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,54,3,2,0,0,0
Zotu8089,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,4,0,0,1
Zotu809,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu8090,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Zotu8091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,10,8
Zotu8092,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,27,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Zotu8093,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,2,30,0,0,8
Zotu8094,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,20,0,0,0
Zotu8098,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Zotu8099,0,0,1,3,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,12,4,0,0,0
Zotu81,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,71,14,20,0,0,0,0,0,0,0,61,0,0,0,0,0,80,0
Zotu810,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0,398,1028,0,0,0,0,3,7,0,0,0,0,1,0,0,0,0
Zotu8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu8104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8105,2,0,0,10,1,2,0,0,1,0,0,1,0,0,0,48,3,1,0,0,0,0,0,0,1,0,0,4,12,3,0,0,0,3,5,8
