,DLSm01,DLSm02,DLSm03,DLSs01,DLSs02,DLSs03,DPSm01,DPSm02,DPSm03,DPSs202001,DPSs202002,DPSs202003,HLm01,HLm02,HLm03,HLs202001,HLs202002,HLs202003,SLTm01,SLTm02,SLTm03,SLTs202001,SLTs202002,SLTs202003,SLm01,SLm02,SLm03,SLs01,SLs02,SLs03,XSm01,XSm02,XSm03,XSs202001,XSs202002,XsSs202003
Zotu4430,3,1,3,0,0,1,1,0,1,0,1,1,2,3,1,0,0,0,1,0,3,1,0,1,10,10,6,1,0,1,4,4,17,0,0,0
Zotu4431,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Zotu4432,42,9,5,0,0,3,1,0,2,0,0,0,3,1,0,0,0,0,1,9,9,0,0,0,5,8,5,0,0,0,0,0,0,0,0,0
Zotu4433,7,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Zotu4434,0,0,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,16,1,0,0,1,0,1
Zotu4435,4,0,5,0,0,0,0,0,0,2,1,1,46,2,6,0,1,0,0,1,0,1,0,0,0,3,1,0,0,0,4,5,7,0,0,0
Zotu4436,6,0,4,0,0,0,41,2,6,0,0,0,16,0,2,0,0,0,2,2,4,0,0,0,21,1,1,3,0,0,3,0,0,0,0,0
Zotu4437,9,39,8,0,0,0,0,1,1,0,0,0,2,8,3,0,0,0,24,254,352,0,0,0,5,10,5,1,0,0,1,34,2,0,0,0
Zotu4438,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4439,0,0,0,12,6,6,0,0,0,0,1,0,4,0,0,1,11,0,0,0,1,2,1,0,0,0,0,1,2,4,0,0,4,2,2,1
Zotu444,0,0,0,0,0,0,0,0,0,27,32,7,0,0,0,2,6,2,0,0,0,6,38,26,0,0,0,0,0,0,0,0,0,48,37,19
Zotu4440,0,0,0,1,7,1,2,0,0,0,0,1,2,0,0,0,4,0,5,1,2,0,0,0,0,0,0,2,7,2,0,0,2,0,0,0
Zotu4441,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,2,23,0,0,0,0,0,1
