,DLSs01,DLSs02,DLSs03,DLSse01,DLSse02,DLSse03,DPSs202001,DPSs202002,DPSs202003,DPSse01,DPSse02,DPSse03,HLs202001,HLs202002,HLs202003,HLse01,HLse02,HLse03,SLTs202001,SLTs202002,SLTs202003,SLTse01,SLTse02,SLTse03,SLs01,SLs02,SLs03,SLse01,SLse02,SLse03,XSs202001,XSs202002,XSse01,XSse02,XSse03,XsSs202003
Zotu10078,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3
Zotu10079,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1008,0,0,2,0,0,0,0,0,0,37,103,213,0,0,0,1,1,137,0,0,0,4,0,3,5,0,0,1,0,0,0,0,2,1,3,0
Zotu10080,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Zotu10081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Zotu10082,16,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,3,0,1,0
Zotu10083,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,2,1,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0
Zotu10085,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10086,4,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0
Zotu10087,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Zotu10088,1,0,4,0,0,0,2,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2
Zotu10089,7,1,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,1,4,1,0,0,0,2,6,0,0,0,3
Zotu1009,0,0,0,0,0,0,65,243,50,0,0,0,1,1,0,0,0,0,46,3,0,0,0,0,0,1,0,0,0,0,0,58,0,0,1,1
Zotu10090,1,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10091,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Zotu10092,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
Zotu10093,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6,2,10,0,0,0,0,0,0,0,0,2
Zotu10094,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1
Zotu10095,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0,0,1,0,0,0
Zotu10096,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,1
Zotu10097,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0
Zotu10098,3,0,12,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,2
Zotu10099,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu101,1,0,0,1,0,0,0,0,0,0,0,0,3,3,48,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu1010,0,7,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2
Zotu10100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0
Zotu10101,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,2,0,0,0,0,7,0,0,0
