,DLSs01,DLSs02,DLSs03,DLSw202001,DLSw202002,DLSw202003,DPSs202001,DPSs202002,DPSs202003,DPSw202001,DPSw202002,DPSw202003,HLs202001,HLs202002,HLs202003,HLw202001,HLw202002,HLw202003,SLTs202001,SLTs202002,SLTs202003,SLTw202001,SLTw202002,SLTw202003,SLs01,SLs02,SLs03,SLw202001,SLw202002,SLw202003,XSs202001,XSs202002,XSw202001,XSw202002,XSw202003,XsSs202003
Zotu9254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
Zotu9256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Zotu9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Zotu9259,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
Zotu926,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu9261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu9262,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Zotu9263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu9264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Zotu9266,0,0,0,0,0,1,2,0,0,7,3,6,0,0,0,0,1,0,0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu9267,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu927,0,0,0,151,79,163,16,29,21,9,18,0,22,0,20,2,28,36,62,11,19,1,0,21,0,0,0,14,10,18,1,0,7,16,1,2
Zotu9272,0,0,0,0,0,0,0,0,0,3,0,7,0,2,0,3,2,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,11,14,23,0
Zotu9273,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,1,1,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,1,0
Zotu9274,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,2,0,0,0,0
