,DLSm01,DLSm02,DLSm03,DLSse01,DLSse02,DLSse03,DPSm01,DPSm02,DPSm03,DPSse01,DPSse02,DPSse03,HLm01,HLm02,HLm03,HLse01,HLse02,HLse03,SLTm01,SLTm02,SLTm03,SLTse01,SLTse02,SLTse03,SLm01,SLm02,SLm03,SLse01,SLse02,SLse03,XSm01,XSm02,XSm03,XSse02,XSse03,XSt01
Zotu10095,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu10097,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10098,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Zotu10099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Zotu101,97,122,135,1,0,0,147,88,2,0,0,0,316,640,448,0,0,0,0,83,17,0,0,0,1493,702,105,0,0,0,922,8091,790,0,0,36
Zotu1010,0,8,0,0,0,13,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,5,0,0,0,9
Zotu10101,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Zotu10103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Zotu10104,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10105,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu10106,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Zotu10107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Zotu1011,0,0,0,3,0,10,1,2,6,0,0,0,0,0,0,4,0,0,354,8,6,2,0,0,0,0,0,4,6,0,0,0,0,0,0,0
Zotu10110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10115,0,0,3,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,1,2,0,0,1
Zotu10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu10117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,1,1,0,0,0,0,0,4,0,0,1
Zotu10118,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
Zotu1012,4,0,1,1,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,9,0,0,8
Zotu10120,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10124,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
Zotu10127,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1013,1,5,49,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26
Zotu10131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Zotu10133,0,0,14,0,0,0,0,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,40,0,0,0,0,9,11,0,0,0
Zotu10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu10136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Zotu10137,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,7,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10139,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu1014,2,4,37,0,0,0,0,356,0,0,0,0,122,4,4,0,0,0,0,1,2,0,0,0,11,4,3,0,0,0,171,43,62,7,1,14
Zotu10140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10142,0,0,0,0,3,1,0,0,2,0,0,0,0,0,1,0,0,1,0,28,75,0,0,1,1,0,3,0,0,0,0,1,1,0,0,0
Zotu10143,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0
Zotu10145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Zotu10147,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu10148,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,11,0
Zotu1015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10151,0,0,0,56,108,71,5,0,0,6,0,3,0,0,0,34,34,16,5,2,1,62,25,6,0,0,0,7,5,9,0,0,0,2,4,0
Zotu10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0
Zotu10155,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Zotu10156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Zotu10157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu10158,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10159,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu1016,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,1,1,7,0,0,0,0,1,6,1,0,0,0
Zotu10160,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu10161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu10162,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,0,1,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
