,DLSm01,DLSm02,DLSm03,DLSt01,DLSt02,DLSt03,DPSm01,DPSm02,DPSm03,DPSt01,DPSt02,DPSt03,HLm01,HLm02,HLm03,HLt01,HLt02,HLt03,SLTm01,SLTm02,SLTm03,SLTt01,SLTt02,SLTt03,SLm01,SLm02,SLm03,SLt01,SLt02,SLt03,XSm01,XSm02,XSm03,XSt01,XSt02,XSt03
Zotu4688,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0
Zotu4689,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu469,0,13,49,44,1,0,0,1,0,13,8,142,85,1,0,609,0,52,0,40,62,80,19,16,0,0,0,0,0,8,1,47,11,65,78,334
Zotu4690,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4691,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4692,0,0,0,4,4,4,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,33,0,7,6,0,1,4,0,0
Zotu4693,2,3,8,2,2,0,0,8,9,0,1,0,2,0,2,0,0,0,3,1,0,0,0,0,1,0,3,20,2,3,2,1,1,2,0,1
Zotu4694,0,0,0,1,1,1,9,2,0,0,0,1,1,0,0,5,1,2,4,16,1,0,8,0,12,4,0,0,1,0,1,0,7,0,1,7
Zotu4695,2,5,6,0,6,1,0,0,1,3,0,1,0,20,4,0,0,4,0,0,3,1,2,6,9,1,9,0,1,0,0,0,1,0,1,0
Zotu4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu4697,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Zotu4699,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,1,0,0,7
Zotu47,3,0,0,0,5,1,1,5,0,0,1,0,0,0,1,2,1,4,0,53,5,0,0,1,2,0,0,0,30,3,0,0,0,0,10,160
Zotu470,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4700,0,2,3,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,2,0,0,0,75,0,0,0,1,0,0,2,0,0
Zotu4701,0,0,0,3,1,12,4,0,0,0,0,0,0,0,3,0,3,1,1,0,0,0,0,1,0,1,0,1,0,2,0,0,1,0,0,0
Zotu4702,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu4703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4706,0,2,1,0,0,1,0,3,0,1,1,0,1,0,2,0,0,4,0,1,1,1,6,12,1,3,0,0,0,4,0,0,0,0,1,1
Zotu4707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4709,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu471,0,0,0,0,0,0,31,0,8,0,0,0,0,0,0,0,19,0,23,17,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,7
Zotu4710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,7
Zotu4711,0,0,2,5,0,0,0,0,0,2,0,2,2,3,0,0,1,0,12,0,1,2,0,1,4,0,0,0,0,0,1,0,2,0,1,0
Zotu4712,0,1,2,3,0,0,1,1,3,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,4,1,0,1,0,1,1,0,3,0,0,0
Zotu4713,0,0,3,3,0,0,0,0,0,4,4,3,1,0,2,11,0,0,0,0,0,34,5,9,0,1,0,1,0,0,0,1,0,2,2,1
Zotu4714,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,45,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,16
Zotu4715,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4717,2,1,1,2,7,0,1,2,2,6,2,1,3,1,2,3,0,0,5,0,1,1,3,5,1,4,2,2,2,8,1,1,2,1,4,2
Zotu4719,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu472,68,54,120,15,0,18,23,83,62,43,19,5,25,35,99,14,6,18,327,9,3,14,5,10,14,24,286,59,8,6,79,16,23,39,35,12
Zotu4720,1,0,0,0,3,0,0,0,0,3,1,1,0,3,1,0,0,0,0,3,3,3,13,10,3,0,2,0,2,0,1,0,0,0,0,0
Zotu4721,0,6,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,31,0,1,0,0,0,0
Zotu4722,2,1,0,1,0,1,0,2,4,15,4,3,0,0,0,0,0,0,1,1,0,2,2,1,0,2,2,6,3,0,9,0,0,4,0,0
Zotu4723,2,3,4,3,1,2,3,3,4,2,0,0,4,1,4,6,0,20,1,0,2,0,0,2,8,6,10,1,0,0,0,5,5,5,7,0
Zotu4724,5,2,10,0,0,0,0,12,14,0,0,0,0,4,0,1,0,0,0,1,0,1,0,0,2,0,2,0,0,0,1,0,1,0,3,0
Zotu4725,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4726,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu473,3,3,31,78,100,43,1,2,23,24,13,22,33,7,4,49,30,13,9,101,16,169,42,35,15,7,15,36,2,24,11,6,2,65,16,348
Zotu4730,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Zotu4731,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Zotu4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Zotu4733,0,2,0,4,15,11,0,0,0,0,0,14,0,1,0,1,0,1,0,0,2,3,2,5,1,1,0,6,0,6,0,2,2,0,0,0
Zotu4735,0,0,1,1,1,4,1,0,0,0,0,3,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,5,1,2,0,0
Zotu4736,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4737,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Zotu4738,0,3,0,1,2,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,29,1,4,1,0,0,0
Zotu4739,0,0,1,0,0,1,5,1,11,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
Zotu474,15,20,26,15,17,133,0,6,0,9,2,4,33,12,96,162,0,581,10,10,80,5,2,85,8,106,23,80,7,19,13,74,5,120,169,9
Zotu4741,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4743,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu4744,4,0,14,1,0,1,14,15,3,1,1,0,2,2,3,0,0,1,0,1,1,1,0,0,6,1,11,0,0,0,1,0,2,0,2,0
Zotu4745,0,0,4,1,4,0,1,3,0,2,1,3,1,1,0,3,1,2,4,3,1,1,0,0,1,5,0,5,4,7,0,0,3,2,3,1
Zotu4746,0,0,0,0,2,0,0,0,0,3,0,5,0,2,0,0,7,0,0,0,7,1,21,3,3,0,0,0,0,1,0,0,0,0,0,0
Zotu4747,0,0,0,3,26,1,0,0,0,2,2,2,0,3,0,2,0,0,0,0,5,3,28,2,2,0,2,3,0,2,0,1,0,5,0,0
Zotu4748,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu475,0,0,3,122,2,75,10,17,112,0,2,1,54,0,28,5,5,39,16,390,0,1,0,45,17,974,5,4,4,3,24,26,31,0,1,14
Zotu4750,2,0,0,0,0,0,2,3,4,0,0,0,4,1,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
Zotu4751,0,1,0,0,2,0,0,1,0,3,3,4,1,2,0,0,0,1,0,0,4,1,28,1,4,1,1,1,0,0,1,0,1,3,0,0
Zotu4752,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu4753,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
