,DLSw202001,DLSw202002,DLSw202003,DPSw202001,DPSw202002,DPSw202003,HLw202001,HLw202002,HLw202003,SLTw202001,SLTw202002,SLTw202003,SLw202001,SLw202002,SLw202003,XSw202001,XSw202002,XSw202003
otu10313,0,0,0,0,0,0,1,2,0,4,0,0,1,1,0,0,0,0
otu10314,0,0,0,1,0,0,0,0,0,3,2,3,0,0,0,0,0,0
otu10315,1,0,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,0
otu10316,0,0,0,1,0,1,1,0,0,0,6,0,0,0,2,0,0,0
otu10317,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
otu10318,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1032,0,0,30,0,36,0,0,1,49,0,0,1,0,0,1,2,26,0
otu10320,2,0,0,0,0,0,0,1,2,0,0,0,2,3,2,0,0,0
otu1033,9,0,0,0,0,0,4,0,0,0,0,11,0,0,0,2,10,11
otu10339,0,1,2,1,0,0,4,0,1,0,1,0,0,0,0,7,3,2
otu10342,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
otu10347,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10349,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1035,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2
otu10352,0,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,0
otu1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10362,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
otu10364,0,0,0,57,25,73,10,18,26,16,16,2,34,8,19,31,15,31
otu10365,0,0,4,0,13,2,0,0,2,0,0,3,0,0,0,0,0,0
otu10366,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0
otu10367,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,2,0
otu10368,0,0,0,0,2,1,0,0,0,2,1,9,0,1,2,0,0,0
otu10369,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,1,3
otu10370,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,3,16
otu10371,0,0,0,0,5,4,0,0,0,0,2,0,0,0,0,0,2,0
