,DLSt01,DLSt02,DLSt03,DPSt01,DPSt02,DPSt03,HLt01,HLt02,HLt03,SLTt01,SLTt02,SLTt03,SLt01,SLt02,SLt03,XSt01,XSt02,XSt03
otu10512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
otu10514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10518,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
otu1052,44,7,10,42,0,15,15,0,15,12,8,56,29,3,13,30,8,11
otu10521,4,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
otu10522,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0
otu10523,1,2,2,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0
otu10524,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
otu10525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10527,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
otu10529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
otu1053,11,18,0,0,0,2,14,2,1,13,10,2,0,10,1,0,2,17
otu10530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10531,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0
otu10533,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10534,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
otu10535,4,0,0,2,2,1,0,0,0,5,1,0,0,0,0,0,0,0
otu10539,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
