,DLSm01,DLSm02,DLSm03,DPSm01,DPSm02,DPSm03,HLm01,HLm02,HLm03,SLTm01,SLTm02,SLTm03,SLm01,SLm02,SLm03,XSm01,XSm02,XSm03
otu1024,2,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10240,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0
otu10241,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
otu10246,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1025,0,2,3,18,1,1,8,1,0,21,1,4,2,2,0,7,4,2
otu10251,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
otu10252,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0
otu10254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
otu10256,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
otu10258,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
otu10259,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,1,0,0
otu1026,1,7,2,2,2,36,16,0,0,72,0,2,2,1,0,4,1,14
otu10260,0,1,0,3,3,0,9,1,2,0,0,1,6,9,1,0,1,7
otu10262,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
otu10263,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,4
otu10265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu1027,8,7,15,9,30,17,19,8,8,21,21,4,22,34,8,14,12,27
otu10273,2,1,3,3,1,2,2,0,1,2,0,0,1,0,3,1,1,1
otu10278,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
otu1028,13,9,20,21,27,8,29,15,8,49,21,14,33,44,16,30,43,60
otu10280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10287,0,0,2,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0
otu10288,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
otu10289,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
otu1029,4,6,6,5,9,10,9,1,0,5,22,3,4,3,3,3,7,9
otu10290,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
otu10291,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10292,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
otu10293,0,0,1,5,0,0,6,1,0,0,0,2,6,0,0,3,0,0
otu10294,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,1
otu10295,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
otu10296,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10299,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
otu103,0,0,0,198,0,134,0,0,0,186,0,0,0,0,0,1,0,0
otu1030,49,27,67,7,32,0,116,31,30,2,1,1,8,10,253,66,1,17
otu10302,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10306,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10309,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1031,7,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0
otu10310,1,0,2,0,0,0,1,3,1,0,0,1,1,0,1,0,0,0
otu10311,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0
otu10312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10314,4,3,1,0,0,0,0,12,1,14,0,0,3,0,3,0,1,0
otu10315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10319,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,2,0,0
otu10320,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
otu10328,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10330,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10334,1,2,3,4,3,3,0,1,5,14,2,0,0,1,5,1,0,3
otu10335,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10336,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10338,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10339,7,2,4,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0
otu1034,12,0,0,0,7,0,0,0,0,0,17,4,0,0,4,2,2,0
otu10340,7,0,2,0,2,0,0,1,1,0,0,0,0,0,4,0,0,0
otu10341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10342,0,1,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
otu10343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10344,0,2,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,1
otu10345,0,3,0,0,1,0,3,0,0,0,0,0,0,1,0,3,1,11
otu10346,5,1,0,0,1,0,0,1,2,0,0,0,2,6,0,0,0,0
otu10347,0,1,1,0,0,3,1,0,0,1,1,1,0,0,0,0,2,0
otu10348,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10349,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1035,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36
otu10350,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
otu10351,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1036,0,3,0,0,0,0,0,11,0,2,1,311,28,0,0,0,8,0
otu10362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10364,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10365,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu10366,0,0,2,0,1,0,21,0,0,0,0,0,2,0,0,3,0,5
otu10368,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10369,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
otu1037,1,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0
otu10372,0,1,1,3,0,0,2,0,1,0,0,2,2,0,0,0,3,0
otu10373,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10374,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10376,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1038,2,0,0,0,3,0,0,2,0,0,0,20,0,0,0,0,1,0
otu10382,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
otu10383,0,0,0,1,0,1,0,0,0,0,2,0,0,15,0,2,0,1
otu10384,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1
otu10385,0,2,1,2,1,0,0,0,1,2,0,1,1,8,0,4,5,4
otu10387,0,0,0,0,2,0,1,0,1,0,0,1,2,10,0,0,0,2
otu10389,0,1,2,0,3,1,1,0,0,0,0,0,2,0,0,0,0,7
otu1039,1,0,0,13,1,6,0,0,0,11,0,0,0,0,0,0,0,0
otu10390,1,1,12,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
otu10391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
otu10392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10393,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
otu10394,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0
otu10395,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1
otu10396,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
otu10398,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
otu10399,0,0,2,0,1,1,12,0,0,0,1,0,1,0,0,2,0,1
otu104,3454,699,1493,136,1449,384,499,333,376,106,51,6,269,333,429,276,194,1743
otu1040,31,75,37,1,1,0,1,43,260,62,0,4,4,28,31,1,6,4
otu10400,0,0,3,0,1,0,26,0,0,0,0,0,2,1,0,2,0,2
otu10401,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
otu10402,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10403,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10405,0,0,0,0,1,4,0,0,0,0,0,1,3,0,0,2,0,1
otu10408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1041,9,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0
otu10411,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10412,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10418,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0
otu10419,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1042,0,0,1,993,8,0,11,4,0,14,161,2,80,8,0,5,0,7
otu10420,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10421,0,0,0,0,0,5,2,1,0,0,0,1,5,0,0,0,0,0
otu10422,0,0,0,0,0,1,0,1,0,0,0,16,1,0,0,0,0,0
otu10423,6,1,12,0,8,6,10,5,4,4,2,1,6,7,1,5,3,9
otu10428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10429,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
otu1043,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
otu10430,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10431,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
otu10432,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
otu10433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu1044,4,6,10,8,3,6,26,5,0,8,3,5,6,0,1,4,40,9
otu10443,2,1,1,0,1,0,0,7,4,0,0,1,1,7,0,1,0,2
otu10444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10446,1,0,0,0,0,0,1,0,1,0,1,0,0,2,1,1,2,4
otu10449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1045,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10450,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,3,0
otu10451,10,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0
otu10452,7,0,1,0,1,0,0,3,1,0,0,0,0,0,2,0,0,0
otu10453,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
otu10454,0,2,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0
otu10455,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
otu10456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10457,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,1
otu10458,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
otu10459,0,0,0,0,2,0,18,0,0,0,0,0,7,2,0,3,0,2
otu1046,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
otu10460,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10461,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
otu10465,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
otu10469,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1047,0,3,7,7,1,4,6,1,0,3,1,0,4,6,32,41,3,2
otu10476,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1048,38,17,36,7,16,0,1,25,16,22,0,0,2,0,198,33,0,1
otu10486,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
otu10488,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0
otu1049,0,0,1,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0
otu10490,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10498,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu105,48,0,0,0,55,1,0,0,0,0,64,0,2,0,0,0,0,0
otu10500,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,7
otu10501,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
otu10507,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1051,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
otu10517,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
otu10519,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,1
otu1052,14,18,16,0,13,1,34,15,13,3,38,8,31,23,68,189,11,27
otu10520,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
otu10522,0,0,1,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0
otu10523,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
otu10524,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1
otu10525,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
otu10526,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10527,0,0,0,0,0,1,0,0,0,4,0,0,2,1,0,1,1,0
