,DLSm01,DLSm02,DLSm03,DPSm01,DPSm02,DPSm03,HLm01,HLm02,HLm03,SLTm01,SLTm02,SLTm03,SLm01,SLm02,SLm03,XSm01,XSm02,XSm03
otu10106,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
otu10107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1011,0,0,0,1,2,6,0,0,0,354,8,6,0,0,0,0,0,0
otu10115,0,0,3,0,2,0,5,0,0,0,0,0,1,1,3,1,1,2
otu10116,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
otu10117,0,0,0,1,0,0,0,0,0,0,0,2,5,1,1,0,0,4
otu10118,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10119,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0
otu1012,4,0,1,1,0,3,5,0,0,0,0,0,1,5,3,0,0,9
otu10120,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0
otu10122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10124,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu10127,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
otu10128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1013,1,5,49,0,0,0,1,0,38,0,0,0,0,0,0,0,0,1
otu10131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
otu10133,0,0,14,0,19,27,0,0,0,0,0,0,4,20,40,0,9,11
otu10135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
otu10137,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0
otu10138,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
otu10139,0,0,0,2,0,1,0,0,0,5,2,1,1,0,1,0,0,0
otu1014,2,4,37,0,356,0,122,4,4,0,1,2,11,4,3,171,43,62
otu10140,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10142,0,0,0,0,0,2,0,0,1,0,28,75,1,0,3,0,1,1
otu10143,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,15
otu10145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10147,0,0,0,2,0,2,6,0,0,0,0,18,0,0,0,0,0,0
otu1015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10151,0,0,0,5,0,0,0,0,0,5,2,1,0,0,0,0,0,0
otu10152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10154,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6
otu10155,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
otu10158,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
otu10159,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0
otu1016,0,0,0,1,1,0,0,0,0,2,0,5,1,7,0,1,6,1
otu10160,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
otu10162,0,0,0,4,2,2,0,0,0,0,4,5,0,0,1,0,0,0
otu10164,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,1,0
otu10166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu1017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10171,0,0,0,1,0,0,0,0,0,8,2,3,1,0,0,0,0,0
otu10172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10173,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu10180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10182,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10183,0,1,0,2,10,2,0,0,0,0,4,5,1,0,2,1,2,0
otu10186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10189,0,1,1,1,3,6,2,0,0,0,13,4,0,0,0,1,0,1
otu1019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
otu10190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10194,0,0,0,1,1,1,0,0,0,18,1,0,0,0,0,0,0,0
otu10195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10196,3,0,1,0,1,0,3,3,1,0,0,1,0,0,0,7,4,4
otu10197,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
otu10199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
otu102,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0
otu1020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10201,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,3,1
otu10202,0,2,1,0,0,0,5,4,2,0,0,0,1,0,2,1,1,2
otu10203,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,3,0
otu10204,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
otu10205,0,0,3,0,0,1,4,1,0,3,0,0,1,2,1,1,0,3
otu10206,0,2,2,0,0,1,0,1,1,0,2,2,1,0,0,0,0,0
otu10208,0,0,0,2,0,0,3,0,3,1,0,0,1,0,1,0,0,1
otu10209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu1021,1,0,38,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0
otu10210,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10212,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10213,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10214,0,2,0,0,8,0,0,0,0,0,23,10,1,0,0,0,0,0
otu10215,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0
otu10216,0,19,4,0,2,1,37,109,21,0,0,0,1,1,1,39,5,17
otu10217,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
otu10218,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
otu10219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu1022,6,1,5,15,4,5,7,1,3,32,26,12,14,5,8,17,6,1
otu10220,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0
otu10221,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
otu10222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10224,0,0,0,0,0,0,1,10,0,0,1,0,2,0,0,3,3,8
otu10225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10226,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
otu10227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10229,4,0,1,1,2,0,5,0,1,6,2,4,0,0,0,0,0,1
otu10235,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10238,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1024,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0
otu10241,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10246,0,0,1,0,1,3,1,1,0,0,0,0,0,3,0,1,0,1
otu10247,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
otu1025,0,0,0,0,9,5,0,0,0,2,1,1,0,0,0,0,0,0
otu10251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10258,2,1,1,3,1,3,1,0,0,3,12,10,3,0,1,0,1,0
otu1026,12,1,4,24,20,52,13,1,1,21,627,383,0,11,8,1,1,9
otu10262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1027,0,0,4,0,0,4,0,0,2,1,0,0,1,0,1,0,0,1
otu10270,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
otu10271,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
otu10272,0,0,0,1,4,0,0,0,3,0,1,2,2,0,0,0,0,0
otu10273,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0
otu10279,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1
otu1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
otu10280,1,1,5,0,0,4,0,0,0,0,1,0,1,1,0,0,0,0
otu10282,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10283,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10286,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10287,1,2,2,16,2,9,1,0,0,4,342,207,4,2,1,1,7,1
otu10288,2,2,4,32,5,27,4,0,0,4,115,114,14,2,3,2,0,3
otu10289,0,0,0,1,0,0,1,0,0,5,5,1,0,0,0,2,1,2
otu1029,1,3,1,0,0,1,1,7,1,0,1,0,6,2,5,0,1,6
otu10290,0,0,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0
otu10291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10292,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10293,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10294,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
otu10295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
otu10299,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
otu103,23,247,4,2,51,1,165,3846,75,130,1092,1929,283,2,1,265,70,78
otu10302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10306,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,4
otu1031,4,8,3,8,2,3,18,18,15,80,6,4,14,21,51,16,10,163
otu10310,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0
otu10317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10318,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0
otu10319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1032,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu10325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10329,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1033,2,3,0,0,0,1,20,1,3,2,5,3,0,0,0,6,0,6
otu10335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1034,0,1,8,0,0,0,0,0,2,0,0,0,16,0,15,3,0,4
otu10340,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10341,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10347,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2,2
otu10348,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0
otu10349,0,0,0,1,0,0,6,4,8,0,0,0,16,1,0,51,11,13
otu1035,0,0,0,22,0,0,0,0,0,0,24,0,0,0,0,0,0,1
otu10350,0,0,0,0,1,0,2,1,1,4,0,0,0,0,0,4,1,0
otu10351,2,0,0,0,0,1,2,2,0,0,1,0,2,0,1,0,3,9
otu10353,0,0,1,0,0,0,0,7,3,0,4,1,1,0,0,1,0,1
otu10354,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
otu10356,1,0,0,0,0,0,11,4,2,1,0,0,2,0,2,4,2,12
otu10357,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1
otu10359,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3,23
otu1036,0,0,0,0,15,6,0,0,0,0,0,1,0,0,0,0,0,0
otu10360,2,0,0,1,0,0,0,0,0,0,6,5,0,6,1,0,0,0
otu10361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,3
otu10362,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,0,14
otu10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
otu10366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10367,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
otu1037,43,29,36,3,398,0,3,1,5,0,4,0,40,386,342,3,75,14
otu10374,3,0,0,0,0,0,1,0,0,1,3,1,0,4,1,2,1,2
otu10376,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0
otu10377,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
otu10378,0,0,0,0,0,0,5,5,3,0,0,0,2,3,2,20,1,5
otu10379,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
otu1038,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
otu10380,0,0,1,0,2,0,7,0,0,0,4,1,0,0,0,2,0,0
otu10381,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0
otu10382,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
otu10383,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0
otu10384,0,0,0,1,1,0,0,1,0,0,2,2,0,0,0,11,2,0
otu10385,0,0,0,1,21,1,62,3,6,40,7,3,1,0,1,4,1,7
otu10386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10387,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1039,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
otu10391,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu104,89,1,3,0,0,0,57,1,2,0,0,0,32,0,55,10,0,7
otu1040,14,0,7,0,0,0,5,0,0,0,0,0,3,3,3,0,3,0
otu10401,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10403,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
otu10404,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
otu10406,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu1041,5,0,1,0,0,0,23,1,1,0,0,1,1,0,1,4,2,0
otu10410,0,25,0,0,0,0,0,21,0,0,0,0,0,4,0,3,6,0
otu10411,0,1,0,1,0,0,0,0,0,17,0,1,0,0,0,0,2,0
otu10412,0,2,0,0,0,0,0,6,0,0,0,0,3,2,0,0,0,0
otu10414,2,1,0,0,0,0,2,1,0,1,2,0,1,0,0,2,0,0
otu10415,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10417,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1
otu10418,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0
otu1042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10420,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
otu10422,0,0,0,0,1,0,1,0,0,0,30,10,0,0,0,0,0,1
otu10423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1043,25,8,11,103,2,8,112,13,15,1,11,6,207,14,32,54,8,108
otu10435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2
otu1044,0,0,0,2,2,2,0,0,0,1,3,0,0,0,0,0,0,0
otu1045,29,2,2,1,0,0,39,8,5,0,0,0,3,2,2,60,5,20
otu10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
otu10456,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,12,3
otu10457,0,0,0,1,0,1,4,1,1,5,0,0,0,0,1,3,1,42
otu1046,0,0,0,2,0,5,0,0,0,18,0,2,0,0,0,1,0,0
otu10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10462,3,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,1,0
otu10463,2,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10464,3,44,9,0,0,4,0,31,2,0,0,1,4,0,6,1,0,1
otu10465,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
otu10466,7,2,1,0,0,0,1,0,0,0,0,1,1,1,2,0,1,0
otu10467,156,25,3,0,60,0,8,3,0,23,6,6,11,44,90,1,8,3
otu10468,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10469,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
otu10470,20,2,1,0,0,0,2,0,0,0,0,0,5,2,3,0,0,0
otu10471,1,2,2,4,0,0,1,0,0,0,2,1,6,1,2,0,0,0
otu10472,3,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1
otu10473,1,1,0,1,1,0,0,0,2,0,0,1,1,1,2,2,10,1
otu10474,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
otu10475,53,25,7,2,4,3,21,13,4,17,19,9,7,1,13,14,8,12
otu10476,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,2,1,0
otu10477,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1
otu10478,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu10479,2,1,1,0,0,0,0,0,0,0,0,0,17,5,3,4,0,0
otu1048,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10480,2,21,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu10481,11,32,14,71,17,4,16,2,7,8,107,145,74,30,61,5,3,12
otu10482,1,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,1,0
otu10483,0,3,5,0,0,0,0,0,0,0,0,0,1,9,15,0,2,0
otu10484,0,3,0,0,3,0,0,3,0,0,0,0,2,0,3,0,0,0
otu10485,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,2,1,2
otu10486,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
otu10487,40,10,5,0,3,4,28,3,6,14,30,28,7,8,10,47,6,6
otu10488,254,48,27,5,6,7,29,12,12,3,68,109,106,12,40,16,40,84
otu10489,1,1,0,1,0,0,1,0,1,3,4,1,0,0,2,1,0,6
otu1049,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
otu10490,0,0,0,0,1,1,3,0,0,0,0,2,0,0,1,0,0,1
otu10491,0,3,1,1,9,0,0,0,0,0,0,2,0,0,0,0,0,0
otu10492,0,1,1,0,0,0,0,0,0,0,0,0,1,2,4,0,2,0
otu10493,0,4,2,0,0,0,0,5,0,0,1,0,0,0,1,0,0,2
otu10495,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
otu10496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10497,0,0,2,0,1,3,3,0,1,0,0,0,0,0,0,0,0,3
otu10498,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10499,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu105,0,0,0,4,0,3,0,0,0,66,0,0,0,0,0,0,0,0
otu1050,309,52,55,6,3,5,41,4,0,10,32,23,46,19,37,1,1,2
otu10500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10502,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10503,0,1,0,1,0,5,0,1,0,8,0,3,0,0,0,1,0,2
otu10505,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
otu10507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10508,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
